In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((137, 49152), (39, 49152), (20, 49152))
((137,), (39,), (20,))
(49152,)
n_train_samples: 137
n_valid_samples: 20
n_test_samples: 39
n_batches:
n_train_batches: 6
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 6
 
('n_train_batches', 6)
('training @ iter = ', 0)
epoch 1, minibatch 6/6, validation error 10.000000 %, cost 1.485437
epoch 381, minibatch 6/6, validation error 15.000000 %, cost 0.000329
epoch 382, minibatch 6/6, validation error 15.000000 %, cost 0.000399
epoch 383, minibatch 6/6, validation error 15.000000 %, cost 0.000203
('training @ iter = ', 2300)
epoch 384, minibatch 6/6, validation error 15.000000 %, cost 0.000306
epoch 385, minibatch 6/6, validation error 15.000000 %, cost 0.000439
epoch 386, minibatch 6/6, validation error 15.000000 %, cost 0.000394
epoch 387, minibatch 6/6, validation error 15.000000 %, cost 0.000304
epoch 388, minibatch 6/6, validation error 15.000000 %, cost 0.000199
epoch 389, minibatch 6/6, validation error 15.000000 %, cost 0.000434
epoch 390, minibatch 6/6, validation error 15.000000 %, cost 0.000483
epoch 391, minibatch 6/6, validation error 15.000000 %, cost 0.001509
epoch 392, minibatch 6/6, validation error 15.000000 %, cost 0.000405
epoch 393, minibatch 6/6, validation error 15.000000 %, cost 0.000405
epoch 394, minibatch 6/6, validation error 15.000000 %, cost 0.000793
epoch 395, minibatch 6/6, validation error 15.000000 %, cost 0.000464
epoch 396, minibatch 6/6, validation error 15.000000 %, cost 0.000370
epoch 397, minibatch 6/6, validation error 15.000000 %, cost 0.000412
epoch 398, minibatch 6/6, validation error 15.000000 %, cost 0.000250
epoch 399, minibatch 6/6, validation error 15.000000 %, cost 0.000250
epoch 400, minibatch 6/6, validation error 15.000000 %, cost 0.000448
('optimaC', 5)
softmax
 test error of best model 5.000000 %
Optimization complete.
Best validation score of 5.000000 % obtained at iteration 510, with test performance 5.000000 %
('SVM scores:', 0.55000000000000004)
Class 0 has been misclassified  9 times
Class 1 has been misclassified  0 times
Class 2 has been misclassified  0 times
Class 3 has been misclassified  0 times
TP, TN, FP, FN
(9, 2, 0, 9)
Area under the roc curve:
0.0833333333333
The code for file casia_Lenet.py ran for 34.28m
