In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((98, 49152), (28, 49152), (14, 49152))
((98,), (28,), (14,))
(49152,)
n_train_samples: 98
n_valid_samples: 14
n_test_samples: 28
n_batches:
n_train_batches: 7
n_valid_batches: 1
n_test_batches: 2
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 7
 
('n_train_batches', 7)
('training @ iter = ', 0)
epoch 1, minibatch 7/7, validation error 42.857143 %, cost 1.646272
epoch 379, minibatch 7/7, validation error 42.857143 %, cost 0.000049
epoch 380, minibatch 7/7, validation error 42.857143 %, cost 0.000049
epoch 381, minibatch 7/7, validation error 42.857143 %, cost 0.000153
epoch 382, minibatch 7/7, validation error 42.857143 %, cost 0.000104
epoch 383, minibatch 7/7, validation error 42.857143 %, cost 0.000148
epoch 384, minibatch 7/7, validation error 42.857143 %, cost 0.000023
epoch 385, minibatch 7/7, validation error 42.857143 %, cost 0.000020
('training @ iter = ', 2700)
epoch 386, minibatch 7/7, validation error 42.857143 %, cost 0.000127
epoch 387, minibatch 7/7, validation error 42.857143 %, cost 0.000108
epoch 388, minibatch 7/7, validation error 42.857143 %, cost 0.000088
epoch 389, minibatch 7/7, validation error 42.857143 %, cost 0.000087
epoch 390, minibatch 7/7, validation error 42.857143 %, cost 0.000115
epoch 391, minibatch 7/7, validation error 42.857143 %, cost 0.000026
epoch 392, minibatch 7/7, validation error 42.857143 %, cost 0.000311
epoch 393, minibatch 7/7, validation error 42.857143 %, cost 0.000191
epoch 394, minibatch 7/7, validation error 42.857143 %, cost 0.000061
epoch 395, minibatch 7/7, validation error 42.857143 %, cost 0.000041
epoch 396, minibatch 7/7, validation error 42.857143 %, cost 0.000165
epoch 397, minibatch 7/7, validation error 42.857143 %, cost 0.000020
epoch 398, minibatch 7/7, validation error 42.857143 %, cost 0.000044
epoch 399, minibatch 7/7, validation error 42.857143 %, cost 0.000098
epoch 400, minibatch 7/7, validation error 42.857143 %, cost 0.000064
('optimaC', 10)
softmax
 test error of best model 39.285714 %
Optimization complete.
Best validation score of 28.571429 % obtained at iteration 1092, with test performance 39.285714 %
('SVM scores:', 0.7142857142857143)
Class 0 has been misclassified  0 times
Class 1 has been misclassified  8 times
Class 2 has been misclassified  0 times
Class 3 has been misclassified  0 times
TP, TN, FP, FN
(19, 1, 8, 0)
Area under the roc curve:
0.333333333333
The code for file casia_Lenet.py ran for 28.66m
